Company_Name,Location,Company_Id,Area ,Industry ,Country
Topdrive,59 Sage Road,TMB38,Gateway Street,Health Care,Brazil
Twitterbridge,580 Bultman Terrace,fpD22,Gateway Street,Consumer Services,China
Thoughtstorm,91631 Hudson Parkway,opS52,Douglass Park,n/a,China
Linkbuzz,7 Garrison Circle,SvW80,Hi Tech City,Consumer Services,Brazil
Yozio,984 Tony Parkway,6eL76,LaSalle Street,Consumer Non-Durables,China
Photospace,520 Bonner Avenue,vvW93,Financial District,Health Care,China
Feedfish,04426 Bartelt Drive,sjB67,Miami's Brickell,n/a,China
Plambee,81 Buell Drive,sVX39,Miami's Brickell,Basic Industries,China
Plajo,38 Vahlen Road,PtA50,Pinnacle Point,Public Utilities,Russia
Flashdog,15496 Messerschmidt Parkway,qrU42,LaSalle Street,Health Care,China
Oodoo,770 Erie Plaza,ZkW53,Douglass Park,Finance,United States
Jazzy,5 Emmet Place,UhD10,Financial District,Technology,France
Dynazzy,8025 Nevada Hill,mOK23,LaSalle Street,n/a,Sweden
Feedbug,75595 Crowley Alley,DjM87,Connaught Place,Basic Industries,France
Oyoyo,8 Blackbird Trail,DCA60,Gateway Street,Energy,Brazil
Wikibox,1 Kingsford Avenue,ZIE34,Financial District,Health Care,China
Geba,200 Pankratz Parkway,H5P63,Gateway Street,Technology,France
Flashspan,2124 Cottonwood Drive,uMV47,Wall Street,Consumer Durables,China
Kamba,63 Crescent Oaks Avenue,1fK60,Miami's Brickell,Consumer Durables,China
Aimbu,2 Caliangt Plaza,nyM94,Pinnacle Point,Consumer Durables,China
Meejo,3052 Golf Center,JfY59,Connaught Place,Miscellaneous,China
Aimbu,1078 Emmet Pass,TCM98,White Field,Energy,China
Yombu,46760 Westend Hill,hJA91,Hi Tech City,Consumer Non-Durables,China
Jaxworks,87 Farwell Crossing,87D43,Gateway Street,Finance,China
Jabberstorm,4 Holy Cross Trail,KdO40,Wall Street,Finance,China
DabZ,65969 Mayfield Way,KTJ36,White Field,Technology,France
Riffpath,24323 Mandrake Trail,S5L54,Douglass Park,n/a,Sweden
Babbleset,02996 Sachtjen Circle,fnT87,Hi Tech City,Finance,France
Twitterworks,2837 Jackson Avenue,B8H59,White Field,n/a,China
Trupe,7256 Londonderry Alley,jHI26,White Field,Consumer Services,France
Kayveo,87 Luster Road,3UW95,Wall Street,Miscellaneous,Russia
Youspan,44 Sunnyside Terrace,xYH90,Miami's Brickell,n/a,China
Babbleblab,9230 Namekagon Circle,KtV82,Miami's Brickell,Finance,China
Abatz,9144 Elmside Pass,RQS12,Gateway Street,Consumer Non-Durables,China
Twinder,6660 Upham Street,nrR35,Pinnacle Point,Health Care,Russia
Cogilith,05 American Road,9KD51,Miami's Brickell,Consumer Services,Germany
Realcube,382 Pankratz Park,CxQ44,Gateway Street,Consumer Services,China
Avamm,3720 Anzinger Park,90M80,Douglass Park,Public Utilities,China
Voonte,20 Southridge Center,J1V36,Pinnacle Point,Finance,France
Yodel,4 Killdeer Hill,NZT27,LaSalle Street,Technology,Sweden
Thoughtmix,239 Lunder Circle,jLO18,LaSalle Street,Basic Industries,China
Tagcat,15 Carpenter Circle,v3J31,Wall Street,Health Care,China
Voomm,09104 Holmberg Parkway,WlB03,Pinnacle Point,Consumer Services,China
Bluezoom,0 Pennsylvania Park,xhF16,Gateway Street,Health Care,China
Oyoba,662 Burning Wood Lane,H4U97,White Field,Finance,Sweden
Tagpad,706 Randy Circle,TCH12,Miami's Brickell,Consumer Non-Durables,Brazil
Kazio,1201 Pepper Wood Parkway,PMB31,Hi Tech City,Consumer Durables,China
Oyoba,2 Butterfield Junction,D2A81,Financial District,Consumer Services,China
Yodoo,3251 Armistice Junction,JyF59,Miami's Brickell,Public Utilities,China
Twimbo,8 Mandrake Avenue,JbU90,Gateway Street,Health Care,Russia
Leenti,6 Roxbury Plaza,U4Q92,Pinnacle Point,Consumer Non-Durables,China
Jabberbean,1 Sutteridge Court,O6O06,Hi Tech City,Health Care,China
Skajo,36255 Carey Trail,4iO58,Financial District,n/a,China
Quaxo,525 Loomis Drive,3WL26,Hi Tech City,Consumer Non-Durables,Sweden
Eare,8276 Mayfield Parkway,3zJ03,Wall Street,Finance,Brazil
Jabberstorm,7450 Mariners Cove Circle,tSU13,Pinnacle Point,n/a,Sweden
Quimba,014 Morningstar Pass,zhX42,White Field,Capital Goods,United States
Zoombox,614 Pond Terrace,GEK36,Hi Tech City,n/a,China
Chatterbridge,2 Caliangt Plaza,yZI88,LaSalle Street,Health Care,Russia
Jetwire,1642 Sachtjen Point,cPC32,Wall Street,Health Care,China
Quimm,3 Brown Alley,oGT06,Douglass Park,Finance,Sweden
Kwilith,1 Tomscot Center,dmP14,Hi Tech City,Basic Industries,China
Buzzbean,68934 Jackson Lane,ppX00,Douglass Park,Public Utilities,China
Oyoba,08 Lillian Hill,QhU37,Gateway Street,Transportation,China
Pixonyx,309 Old Gate Crossing,SBR01,Hi Tech City,Health Care,Russia
Avavee,1862 Stoughton Center,riP90,LaSalle Street,Public Utilities,Russia
Centidel,78 Delaware Street,QxE89,Hi Tech City,Health Care,Russia
Skynoodle,3420 Hazelcrest Crossing,AiH20,LaSalle Street,Finance,China
Realcube,4 Talisman Park,FEU43,Pinnacle Point,Public Utilities,France
Skynoodle,7581 Reinke Trail,hXN34,Miami's Brickell,Basic Industries,China
Avaveo,12971 Ridgeway Court,50T78,Pinnacle Point,Finance,China
Dabshots,6 David Center,2wK06,White Field,Public Utilities,China
Youspan,63701 Vernon Road,e4C85,Wall Street,Finance,China
Voonix,799 Reinke Junction,vTO43,Financial District,Finance,Brazil
Flipstorm,779 Melvin Circle,KNO10,White Field,Finance,Brazil
Babbleblab,966 Lien Parkway,DNB29,Wall Street,Public Utilities,Russia
Tagopia,2 Golf Course Crossing,NLJ14,Connaught Place,Technology,Sweden
Leenti,3747 Elmside Court,HlK88,Financial District,Consumer Services,United States
Kwimbee,1 Myrtle Point,d4L53,Miami's Brickell,Basic Industries,United States
Dabshots,90 Crownhardt Place,cdB13,Pinnacle Point,Finance,China
Jetwire,54 Manufacturers Court,nlB09,Wall Street,Energy,China
Devify,1 Golden Leaf Hill,wVD88,Wall Street,Finance,United States
Buzzster,9 Moland Hill,EpM42,White Field,n/a,China
Zoovu,197 Pine View Street,2rL74,Wall Street,Basic Industries,China
Tagpad,5251 Ruskin Drive,ujT14,Miami's Brickell,n/a,China
Fivebridge,50788 Kipling Parkway,SDK21,White Field,n/a,China
Skalith,36743 Fairview Avenue,K1D05,Financial District,Health Care,France
Cogidoo,36 David Point,4eQ92,Connaught Place,Finance,China
Zava,8 Duke Trail,1lF61,Hi Tech City,Energy,United States
Thoughtblab,34404 Basil Pass,vDY39,Miami's Brickell,Technology,China
Skinix,834 Grayhawk Terrace,zUW53,Miami's Brickell,Finance,China
Skipfire,9 Sachs Hill,RAU80,Financial District,Energy,United States
Yambee,2 Heffernan Point,swH67,Miami's Brickell,Technology,Australia
Avavee,90506 Brown Avenue,puD73,Connaught Place,Transportation,Russia
Skipstorm,40368 Homewood Crossing,rcO57,Douglass Park,Finance,Brazil
Browsezoom,6130 Morning Drive,YbA87,Gateway Street,Finance,Brazil
Oloo,22 Golf View Avenue,e5Y34,White Field,Health Care,China
Flashpoint,7625 Hintze Park,XJJ94,Gateway Street,Consumer Durables,China
Ainyx,37887 Mariners Cove Park,S3Y12,Gateway Street,Consumer Non-Durables,France
Feedspan,6530 Sundown Parkway,2dZ24,Pinnacle Point,Public Utilities,China
Fivespan,39 Loeprich Avenue,7GY90,Pinnacle Point,Finance,Russia
Skipstorm,88493 Lighthouse Bay Junction,eIZ21,White Field,Technology,United States
Livepath,9 Algoma Court,ZgX94,Miami's Brickell,Basic Industries,China
Yakidoo,7 Menomonie Plaza,FsF52,Financial District,Health Care,China
Flipstorm,8 Doe Crossing Court,BkG77,Miami's Brickell,Energy,China
Voomm,770 Dennis Parkway,uKJ53,White Field,Finance,Sweden
Zoombeat,46 Old Gate Point,CuR56,Miami's Brickell,Technology,Brazil
Topicstorm,70 Nancy Pass,w7J86,White Field,n/a,Russia
Yambee,07917 Kingsford Lane,LaX31,LaSalle Street,Capital Goods,Brazil
Zoomlounge,961 Pawling Junction,mOY19,Hi Tech City,Consumer Services,China
Zoomzone,43497 Riverside Street,flY54,Gateway Street,Energy,China
Zoonoodle,811 6th Way,dNU67,White Field,Capital Goods,Russia
Realfire,8 Waywood Crossing,bKQ81,Hi Tech City,Consumer Services,Russia
Thoughtbeat,9 Manley Alley,0dM09,Financial District,Consumer Services,Brazil
Skinix,55296 Vernon Drive,eZT30,Connaught Place,Capital Goods,China
Jabbertype,74722 Ryan Crossing,5qM85,Hi Tech City,Consumer Services,United States
Tambee,36363 Packers Center,mmZ56,Hi Tech City,n/a,China
Agimba,892 Garrison Street,TjP54,Hi Tech City,Capital Goods,Brazil
Jatri,13641 Warner Way,aoQ52,Gateway Street,n/a,France
Flashpoint,98055 Melvin Drive,OdP88,Hi Tech City,Consumer Services,China
Twitterlist,5 Crescent Oaks Terrace,OhF55,Pinnacle Point,Health Care,China
Twiyo,39 Crowley Road,d4P34,Gateway Street,Technology,United Kingdom
Gabspot,301 Anzinger Junction,JOJ11,Pinnacle Point,Health Care,China
Centizu,0 Daystar Plaza,nAO13,Gateway Street,Public Utilities,Brazil
Tagchat,25929 Stuart Crossing,3BO78,Miami's Brickell,Finance,Russia
Thoughtbeat,48 Vahlen Park,gzX54,Miami's Brickell,Consumer Services,United States
Photobug,47 Maryland Circle,T2C96,Wall Street,Technology,Brazil
Realmix,31 Bellgrove Court,NDD29,Connaught Place,Transportation,United States
Devify,90171 Porter Lane,tHA91,Connaught Place,n/a,China
Fatz,166 Westport Alley,rjO67,Financial District,Finance,China
Mita,98 Magdeline Lane,FRW07,Wall Street,n/a,Brazil
Gigabox,4183 Cascade Crossing,XpY68,Financial District,Health Care,China
Quinu,9 Macpherson Avenue,aoZ47,Wall Street,Transportation,France
Pixoboo,06944 Crescent Oaks Junction,FKD61,Financial District,Consumer Non-Durables,Sweden
Npath,8280 Hallows Trail,LbU01,Pinnacle Point,Consumer Services,France
Skilith,684 Sage Trail,mJU46,Financial District,Finance,France
Cogilith,200 Hansons Street,TEZ88,Connaught Place,Health Care,Sweden
Rhyzio,3 Stuart Point,5LS80,Pinnacle Point,Consumer Services,Russia
Babbleset,861 Shoshone Trail,x8P98,White Field,n/a,Russia
Divanoodle,61 Hanover Circle,1eS50,Connaught Place,Finance,China
Twitterbeat,26152 Birchwood Circle,fhF87,White Field,Basic Industries,China
Kaymbo,17076 Blaine Way,EMU61,Financial District,Energy,Russia
Tazzy,94547 Eagan Lane,t7G31,Connaught Place,Consumer Non-Durables,China
Yacero,0 Center Trail,9SM67,White Field,Consumer Services,China
Tagcat,14680 Daystar Plaza,TVD09,Financial District,Finance,Russia
Trilith,4054 Marquette Pass,0AD30,Financial District,Energy,China
Ntag,6 Fuller Park,eTP60,Financial District,Consumer Services,Brazil
Pixonyx,2242 Gerald Point,QYU55,Hi Tech City,n/a,United States
Chatterbridge,1670 Mesta Hill,1gN13,Douglass Park,Basic Industries,United States
Jaloo,3084 Daystar Point,E4L50,LaSalle Street,Consumer Services,Russia
Aimbo,0 Kenwood Road,cXN42,White Field,Consumer Services,China
Thoughtbeat,7308 Welch Drive,ayE86,White Field,Basic Industries,Brazil
Zoombeat,95 Pine View Trail,pgS45,Connaught Place,n/a,China
Omba,05707 Corry Crossing,RpK35,Hi Tech City,Health Care,China
Youtags,13 Center Hill,cKG93,Gateway Street,Energy,China
Feednation,9106 Truax Junction,e6U71,Wall Street,Finance,China
Roomm,3885 Lillian Junction,SrV83,Wall Street,Capital Goods,Russia
Wikivu,1 Jenifer Drive,D5J65,Miami's Brickell,n/a,Brazil
Bubbletube,6 Hudson Crossing,gUW38,Connaught Place,n/a,China
Zoomcast,0 Maryland Plaza,ySY38,Miami's Brickell,Consumer Services,China
Yambee,14 Oak Valley Pass,Z9L64,Wall Street,n/a,France
Browsezoom,5749 Heffernan Terrace,A0V40,Wall Street,Basic Industries,China
Babbleblab,90503 Reinke Circle,LaA70,Hi Tech City,Consumer Services,France
Jaxbean,8 Lakewood Point,KYZ59,Hi Tech City,Finance,France
Realpoint,427 Bartillon Way,AjK93,White Field,Technology,China
Rhynyx,553 Summer Ridge Pass,WZY17,Miami's Brickell,Consumer Services,China
Skivee,9667 Lunder Crossing,dsL73,Miami's Brickell,Basic Industries,China
Wordtune,268 Paget Point,fiK18,White Field,n/a,Russia
Skilith,406 Ronald Regan Trail,9bF37,Miami's Brickell,Energy,France
Browseblab,0552 Iowa Place,IqX58,Miami's Brickell,n/a,China
Linkbridge,4699 Coleman Center,I3U14,Douglass Park,Consumer Durables,United States
Twitternation,8 Hanson Center,nPT20,Wall Street,n/a,China
Meeveo,80 Mallard Lane,5OQ32,LaSalle Street,n/a,Russia
Linktype,9771 Old Gate Junction,8kE46,Hi Tech City,Finance,Russia
Yakitri,68 Pawling Terrace,iWB22,White Field,n/a,Russia
Oyondu,476 Laurel Terrace,sHK87,LaSalle Street,Consumer Non-Durables,Brazil
Wikizz,17 Grasskamp Place,31D23,Wall Street,Finance,Germany
Yombu,67 Ohio Crossing,wXX05,Wall Street,n/a,China
Rhynyx,197 Holy Cross Point,VBF86,Hi Tech City,Consumer Services,Russia
Demizz,6 Lakewood Gardens Crossing,4LP40,Pinnacle Point,n/a,Russia
Pixoboo,292 Gale Plaza,hWB64,Gateway Street,Miscellaneous,China
Topdrive,05100 Hoepker Point,k5Y41,Miami's Brickell,n/a,Russia
Skinte,886 Heath Way,9XO30,Wall Street,Consumer Services,China
Yakitri,018 Commercial Junction,ZvC27,White Field,Technology,France
Tagtune,01 Hovde Place,pGR34,Miami's Brickell,Consumer Non-Durables,Russia
Rhynoodle,9044 Hermina Hill,TKN71,LaSalle Street,Capital Goods,China
Layo,37 Continental Trail,qEI16,Pinnacle Point,Basic Industries,United States
Voomm,33 Maywood Pass,hpG50,White Field,Consumer Non-Durables,United States
Plambee,01130 Spohn Street,NVL49,Connaught Place,Consumer Non-Durables,Brazil
Npath,45416 Ohio Terrace,MlE09,Financial District,n/a,China
DabZ,7 Nevada Circle,PfD86,Hi Tech City,Technology,United States
Pixoboo,91157 Springs Point,Z6G24,Wall Street,Consumer Services,France
Gigashots,1128 Cardinal Terrace,ReO55,Miami's Brickell,Health Care,Russia
Devpoint,50 Straubel Crossing,h0Y02,Wall Street,n/a,United States
Thoughtworks,876 Farwell Court,SyX90,Connaught Place,n/a,China
Voonyx,54939 Mendota Place,GiA45,Douglass Park,Energy,Russia
Oyonder,0443 Basil Court,T2U59,Gateway Street,Capital Goods,China
Vitz,5 Charing Cross Point,vHO15,Hi Tech City,Technology,China
Skaboo,6 Continental Park,vTU51,Wall Street,Finance,China
Dynabox,562 Eliot Plaza,lMN51,White Field,Health Care,Russia
Ainyx,52669 Graceland Junction,26U22,Connaught Place,Technology,China
Zava,18369 Straubel Junction,VDH00,Wall Street,Consumer Durables,China
Cogilith,68 Mesta Street,1OT60,White Field,n/a,Russia
Buzzster,519 Westport Parkway,8vG83,Gateway Street,Finance,France
Buzzster,32 Fordem Way,qgO50,LaSalle Street,Miscellaneous,China
Skimia,7534 Scott Road,tdD35,White Field,Consumer Services,China
Quinu,298 Ohio Park,SuJ99,Pinnacle Point,Consumer Services,China
Jabberstorm,69 Iowa Pass,kXN69,LaSalle Street,n/a,China
Ainyx,4003 East Hill,TzW08,Gateway Street,Health Care,Russia
Topicstorm,950 Eastlawn Hill,5UJ88,Pinnacle Point,n/a,China
Lajo,6221 East Trail,4pP83,Wall Street,Technology,Russia
Realcube,446 Meadow Valley Plaza,2NP58,Douglass Park,n/a,Sweden
Divanoodle,78 Kings Point,06G68,Hi Tech City,Miscellaneous,China
Quinu,61 Buell Center,dgO88,Miami's Brickell,Technology,China
Flashpoint,42508 Nelson Trail,UUP29,Wall Street,Energy,China
Voolia,26 Sage Place,j0W41,LaSalle Street,Consumer Durables,Sweden
Devpulse,35883 Colorado Circle,DYJ32,Pinnacle Point,Health Care,China
Bluejam,15 Corben Crossing,rkC35,Hi Tech City,Finance,United States
Dabfeed,82381 Forest Dale Way,DIV84,Connaught Place,n/a,Brazil
Babbleopia,637 International Street,k2X45,Miami's Brickell,Energy,Russia
Blogtag,0 Vernon Lane,NRI11,White Field,Technology,China
Edgeclub,3912 School Terrace,T5K38,Gateway Street,Consumer Durables,China
Skynoodle,801 Brentwood Point,X7I11,Miami's Brickell,n/a,China
Meejo,02562 Heffernan Parkway,qyR26,Connaught Place,Basic Industries,Brazil
Yodel,636 Menomonie Trail,IWK98,LaSalle Street,n/a,China
Zoomcast,58 Hudson Park,vsG75,Connaught Place,n/a,Brazil
Mydo,7 Eastlawn Crossing,UKP43,Pinnacle Point,Capital Goods,China
Photobean,177 Hoard Court,2yT10,White Field,Health Care,China
Gabcube,988 Dorton Street,mnU78,LaSalle Street,Technology,France
Skyndu,661 8th Terrace,TlT67,White Field,Consumer Services,China
Browsedrive,798 Bunting Court,07B62,Pinnacle Point,Health Care,Brazil
Riffpedia,9 Dryden Plaza,ykO30,Douglass Park,n/a,China
Skinix,1306 Mandrake Terrace,Y5T24,Financial District,n/a,China
Thoughtblab,7977 Lukken Road,JAW79,Hi Tech City,n/a,Brazil
Eare,810 Sullivan Drive,hXG84,White Field,Technology,China
Kwinu,3 Old Shore Junction,R9S89,Miami's Brickell,n/a,United States
Quamba,4582 Canary Crossing,edZ46,Hi Tech City,Consumer Non-Durables,Brazil
Babblestorm,586 Cottonwood Lane,csI59,Gateway Street,Technology,China
Jabbertype,20 Clarendon Park,BrH88,Connaught Place,Technology,China
Browsedrive,22032 Village Green Place,3nP68,Miami's Brickell,Capital Goods,France
Dazzlesphere,2 Havey Road,nDR69,White Field,Basic Industries,Brazil
Twinder,734 Texas Avenue,0fD14,Gateway Street,Technology,Russia
Topicstorm,984 Holmberg Terrace,48S94,Douglass Park,n/a,Sweden
Skibox,4007 Michigan Park,ezQ86,Wall Street,Health Care,United States
Mita,29 Mendota Road,O0K53,Financial District,Basic Industries,Sweden
Flipbug,8955 Red Cloud Center,5zS96,Financial District,Miscellaneous,Sweden
Brainsphere,18977 New Castle Point,XVO55,Connaught Place,Technology,Brazil
Trudoo,2736 Hoard Way,fVR53,White Field,Energy,China
Oozz,823 Amoth Avenue,nlD47,Douglass Park,Public Utilities,Brazil
Jaxworks,073 Nancy Street,s5N50,Douglass Park,Capital Goods,China
Myworks,80 Sachtjen Plaza,HyG92,Financial District,Capital Goods,Sweden
Mymm,83611 Atwood Court,YwE54,Connaught Place,Capital Goods,China
Skippad,1 Lakewood Gardens Pass,PqM71,LaSalle Street,Consumer Non-Durables,France
Muxo,795 Eagle Crest Parkway,f8Z36,Miami's Brickell,n/a,China
Kamba,08 Sheridan Place,ENR94,Connaught Place,n/a,China
Avaveo,86 Vernon Place,JKJ94,Hi Tech City,Consumer Services,China
Zoonoodle,204 Valley Edge Way,DfV44,Hi Tech City,Consumer Services,Brazil
Kwimbee,7320 Forest Run Circle,y9A90,Connaught Place,Finance,Sweden
Topiclounge,558 Charing Cross Alley,9RM48,Pinnacle Point,Capital Goods,China
Tavu,37441 Springs Drive,inP47,Gateway Street,Finance,China
Tekfly,98 Menomonie Avenue,rRI08,Miami's Brickell,Basic Industries,China
Eidel,12911 Mesta Parkway,yHV55,Douglass Park,Health Care,United States
Yamia,54 Stang Circle,ONA03,Gateway Street,Technology,France
Skibox,06686 Dakota Place,EXF09,Financial District,Consumer Services,China
Jazzy,34 Swallow Pass,SSJ06,Connaught Place,Finance,China
Quimm,3498 2nd Trail,J8X64,Hi Tech City,n/a,France
Zoozzy,2 Kensington Road,yiB56,Miami's Brickell,Technology,China
Flipbug,178 Thompson Avenue,b8C02,White Field,Consumer Non-Durables,China
Cogidoo,6805 Coolidge Pass,mnK45,Wall Street,Finance,Brazil
Gabcube,63292 Arrowood Junction,m6D65,Financial District,Finance,Australia
Pixonyx,3 Clove Avenue,l9I94,Douglass Park,Basic Industries,Russia
Thoughtworks,2173 Mifflin Pass,4nC10,White Field,Technology,China
Kanoodle,4860 Fuller Avenue,hZW20,Wall Street,Consumer Durables,China
Skippad,329 Hudson Lane,4SZ57,Financial District,Finance,China
Tagopia,10 Gina Terrace,zfJ31,Miami's Brickell,n/a,China
Feedfish,38867 Leroy Place,xfY67,White Field,Energy,Russia
Myworks,11993 Karstens Trail,CEE22,Gateway Street,n/a,United States
Eabox,99 Annamark Terrace,zBY31,LaSalle Street,Finance,France
Aivee,7 Larry Center,FIY46,Douglass Park,Consumer Services,China
Realfire,29964 Buena Vista Hill,F6W99,Douglass Park,Finance,China
Babblestorm,72 Myrtle Pass,EUL47,LaSalle Street,n/a,Sweden
Yabox,5901 Norway Maple Crossing,MRE36,LaSalle Street,n/a,China
Kazu,918 Reinke Parkway,MYC53,Hi Tech City,Health Care,Russia
Buzzdog,54 Moland Junction,SSN10,White Field,n/a,Russia
Photobug,998 Summit Trail,LUC69,Pinnacle Point,Finance,Russia
Eabox,85082 2nd Park,7cS66,Wall Street,Consumer Non-Durables,Brazil
Zooveo,3 Prairieview Pass,xLZ87,Douglass Park,Basic Industries,France
Linkbridge,065 Upham Parkway,nyC43,Miami's Brickell,Consumer Services,Russia
Quatz,08202 Waywood Alley,7jW51,White Field,n/a,Sweden
Zazio,3 Talisman Court,xqN56,Hi Tech City,Miscellaneous,China
Leexo,44645 Tennessee Center,wCK69,LaSalle Street,n/a,China
Skimia,049 Holmberg Way,iHM58,Hi Tech City,Consumer Services,China
Jetpulse,025 Mayfield Point,JlO39,Gateway Street,Health Care,Sweden
Ntag,2 Meadow Valley Court,NoM54,Douglass Park,Consumer Services,Russia
Mynte,905 Buhler Road,CLT36,Miami's Brickell,Health Care,China
Wikivu,17986 Northridge Crossing,rdY04,White Field,n/a,China
Devpoint,1 Dryden Parkway,rzW75,Financial District,n/a,France
Jamia,583 Bellgrove Road,HTV49,White Field,Health Care,China
Meejo,4100 Colorado Way,TKM47,LaSalle Street,Public Utilities,Russia
Yodo,65 Valley Edge Street,Z4H84,Financial District,Health Care,China
Dablist,6 Vernon Trail,QzK59,LaSalle Street,n/a,France
Jayo,95 Bay Junction,pjG50,Financial District,Health Care,China
Fanoodle,221 Bonner Center,vKA28,Financial District,Health Care,China
Viva,222 Mcguire Court,hoU80,Pinnacle Point,Public Utilities,China
LiveZ,7 Armistice Place,UwX12,Douglass Park,Public Utilities,Brazil
Voomm,458 Moose Crossing,J6Z71,Douglass Park,Basic Industries,China
Edgewire,42 Starling Road,soI71,Connaught Place,Basic Industries,China
Meetz,40645 Nova Parkway,9dT27,White Field,Capital Goods,China
Zoozzy,61 International Drive,hLQ39,Pinnacle Point,Capital Goods,Russia
Skippad,37 Everett Court,PpV98,Pinnacle Point,Finance,China
Brainverse,04201 Spenser Avenue,CMP23,Hi Tech City,Consumer Services,China
Thoughtmix,7 Coleman Pass,E0K15,White Field,Technology,Sweden
Nlounge,758 East Hill,ACT47,Gateway Street,Finance,China
Wikivu,6 Gale Road,5JM02,Financial District,Energy,Russia
Skajo,6 Golden Leaf Place,1GY14,Connaught Place,Basic Industries,Brazil
Skippad,4806 Hansons Hill,VNT71,Wall Street,Technology,France
Babbleset,8 Boyd Circle,NXG90,Wall Street,n/a,China
Blognation,0239 Center Place,bEY73,Douglass Park,n/a,France
Jetwire,865 Michigan Point,J6E25,Pinnacle Point,Technology,China
Livetube,075 Dottie Alley,OXN07,Connaught Place,Miscellaneous,Brazil
Skyndu,06 Mcguire Point,2BR05,Pinnacle Point,Health Care,United States
Realbridge,97 Sunnyside Street,QAQ60,Gateway Street,Energy,Sweden
Dablist,221 Meadow Vale Drive,0ZN73,LaSalle Street,Consumer Non-Durables,China
Npath,9957 Columbus Plaza,obD88,White Field,n/a,France
Lazzy,12 Valley Edge Alley,QxT62,Financial District,n/a,United States
Nlounge,63 Sycamore Alley,IBE46,Pinnacle Point,n/a,China
Skynoodle,95357 Cherokee Trail,XQN56,Gateway Street,Transportation,China
Midel,319 Magdeline Lane,HRR29,Financial District,n/a,China
Roomm,953 Mitchell Parkway,Z7G60,Douglass Park,Basic Industries,United States
